id,result_url,upload_date,uploaded_listing,model_id_original,model_name,model_name_en,arch,framework,backend,ai_device,cpu_name,cpu_topology,base_frequency,memory,os,single_precision_score,half_precision_score,quantized_score
545283,https://browser.geekbench.com/ai/v1/545283,August 07 2026 07:18 PM,"Fri, 07 Aug 2026 19:18:24 +0000","Mac17,5",MacBook Neo（A18 Pro，2026 年）,,Apple Silicon,Core ML,GPU,Apple A18 Pro,Apple A18 Pro,"1 Processor, 6 Cores",4.04 GHz,8.00 GB,macOS 26.6.1 (Build 25G76),7392,8725,7921
545285,https://browser.geekbench.com/ai/v1/545285,August 07 2026 07:20 PM,"Fri, 07 Aug 2026 19:20:18 +0000","Mac17,5",MacBook Neo（A18 Pro，2026 年）,,Apple Silicon,Core ML,Neural Engine,Apple A18 Pro,Apple A18 Pro,"1 Processor, 6 Cores",4.04 GHz,8.00 GB,macOS 26.6.1 (Build 25G76),4631,34904,48838
545286,https://browser.geekbench.com/ai/v1/545286,August 07 2026 07:20 PM,"Fri, 07 Aug 2026 19:20:26 +0000","MacBook Pro (14-inch, 2021)","MacBook Pro (14-inch, 2021)","MacBook Pro (14-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Apple M1 Pro,Apple M1 Pro,"1 Processor, 10 Cores",3.22 GHz,16.00 GB,macOS 26.6 (Build 25G72),3832,17411,17222
545288,https://browser.geekbench.com/ai/v1/545288,August 07 2026 07:41 PM,"Fri, 07 Aug 2026 19:41:10 +0000","Mac15,12",MacBook Air（13 英寸，M3，2024 年）,,Apple Silicon,Core ML,CPU,Apple M3,Apple M3,"1 Processor, 8 Cores",4.06 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),4116,7468,5990
545018,https://browser.geekbench.com/ai/v1/545018,August 07 2026 08:08 AM,"Fri, 07 Aug 2026 08:08:21 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,CPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.26 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),4833,7879,6351
545024,https://browser.geekbench.com/ai/v1/545024,August 07 2026 08:12 AM,"Fri, 07 Aug 2026 08:12:59 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,GPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.04 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),8097,9117,8861
545025,https://browser.geekbench.com/ai/v1/545025,August 07 2026 08:15 AM,"Fri, 07 Aug 2026 08:15:08 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,Neural Engine,Apple M4,Apple M4,"1 Processor, 10 Cores",4.04 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),4598,38027,53531
545035,https://browser.geekbench.com/ai/v1/545035,August 07 2026 08:35 AM,"Fri, 07 Aug 2026 08:35:36 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,CPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.16 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),5133,8260,6583
545037,https://browser.geekbench.com/ai/v1/545037,August 07 2026 08:37 AM,"Fri, 07 Aug 2026 08:37:24 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,GPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.28 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),8248,7544,8916
545038,https://browser.geekbench.com/ai/v1/545038,August 07 2026 08:38 AM,"Fri, 07 Aug 2026 08:38:59 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,Neural Engine,Apple M4,Apple M4,"1 Processor, 10 Cores",4.40 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),5149,38608,56266
545058,https://browser.geekbench.com/ai/v1/545058,August 07 2026 09:22 AM,"Fri, 07 Aug 2026 09:22:41 +0000","Mac17,3",MacBook Air（13 英寸，M5，2026 年）,,Apple Silicon,Core ML,Neural Engine,Apple M5,Apple M5,"1 Processor, 10 Cores",4.44 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),5592,41570,59747
545062,https://browser.geekbench.com/ai/v1/545062,August 07 2026 09:27 AM,"Fri, 07 Aug 2026 09:27:01 +0000","Mac17,3",MacBook Air（13 英寸，M5，2026 年）,,Apple Silicon,Core ML,GPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.46 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),12669,22845,23451
545063,https://browser.geekbench.com/ai/v1/545063,August 07 2026 09:28 AM,"Fri, 07 Aug 2026 09:28:58 +0000","Mac17,3",MacBook Air（13 英寸，M5，2026 年）,,Apple Silicon,Core ML,CPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.46 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),5620,10105,7491
545072,https://browser.geekbench.com/ai/v1/545072,August 07 2026 09:57 AM,"Fri, 07 Aug 2026 09:57:02 +0000","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Apple M1 Pro,Apple M1 Pro,"1 Processor, 10 Cores",3.22 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),3689,18321,18399
545076,https://browser.geekbench.com/ai/v1/545076,August 07 2026 09:58 AM,"Fri, 07 Aug 2026 09:58:47 +0000","Mac17,3",MacBook Air（13 英寸，M5，2026 年）,,Apple Silicon,Core ML,Neural Engine,Apple M5,Apple M5,"1 Processor, 10 Cores",4.46 GHz,16.00 GB,macOS 27.0 (Build 26A5388g),5759,41788,58559
545594,https://browser.geekbench.com/ai/v1/545594,August 08 2026 02:05 PM,"Sat, 08 Aug 2026 14:05:26 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,CPU,Apple M4,Apple M4,"1 Processor, 10 Cores",2.09 GHz,32.00 GB,macOS 26.6.1 (Build 25G76),2837,4638,3641
545595,https://browser.geekbench.com/ai/v1/545595,August 08 2026 02:05 PM,"Sat, 08 Aug 2026 14:05:53 +0000","Mac17,2",MacBook Pro（14 英寸，M5）,,Apple Silicon,Core ML,CPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.60 GHz,16.00 GB,macOS 26.6 (Build 25G70),5597,9079,7066
545596,https://browser.geekbench.com/ai/v1/545596,August 08 2026 02:07 PM,"Sat, 08 Aug 2026 14:07:52 +0000","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)","MacBook Air (13-inch, 2025)",Apple Silicon,Core ML,CPU,Apple M4,Apple M4,"1 Processor, 10 Cores",4.42 GHz,32.00 GB,macOS 26.6.1 (Build 25G76),5131,8466,6782
545597,https://browser.geekbench.com/ai/v1/545597,August 08 2026 02:08 PM,"Sat, 08 Aug 2026 14:08:16 +0000","Mac17,2",MacBook Pro（14 英寸，M5）,,Apple Silicon,Core ML,GPU,Apple M5,Apple M5,"1 Processor, 10 Cores",4.61 GHz,16.00 GB,macOS 26.6 (Build 25G70),14827,27849,28277
545598,https://browser.geekbench.com/ai/v1/545598,August 08 2026 02:10 PM,"Sat, 08 Aug 2026 14:10:06 +0000","Mac17,2",MacBook Pro（14 英寸，M5）,,Apple Silicon,Core ML,Neural Engine,Apple M5,Apple M5,"1 Processor, 10 Cores",4.61 GHz,16.00 GB,macOS 26.6 (Build 25G70),5592,42833,60562
