id,model_name,arch,framework,backend,workload,accuracy,score
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Face Detection (HP),"100%
",10163
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Face Detection (Q),"100%
",5376
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Depth Estimation (SP),"100%
",9284
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Depth Estimation (HP),"98%
",12295
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Depth Estimation (Q),"85%
",8280
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Style Transfer (SP),"100%
",25271
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Style Transfer (HP),"100%
",46552
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Style Transfer (Q),"96%
",37253
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Super-Resolution (SP),"100%
",5797
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Super-Resolution (HP),"100%
",10499
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Super-Resolution (Q),"99%
",6270
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Text Classification (SP),"99%
",6204
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Text Classification (HP),"99%
",10135
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Text Classification (Q),"93%
",10219
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Machine Translation (SP),"100%
",2867
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Machine Translation (HP),"100%
",9848
543065,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Machine Translation (Q),"98%
",9796
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Classification (SP),"100%
",10711
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Classification (HP),"100%
",13482
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Classification (Q),"97%
",12013
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Segmentation (SP),"100%
",27998
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Segmentation (HP),"100%
",42585
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Image Segmentation (Q),"99%
",39151
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Pose Estimation (SP),"100%
",130676
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Pose Estimation (HP),"100%
",333996
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Pose Estimation (Q),"95%
",289945
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Object Detection (SP),"100%
",10119
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Object Detection (HP),"100%
",14562
543066,MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,GPU,Object Detection (Q),"94%
",13733
